id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
11455,B4Er0.17Rh4Y0.83,10.40 ,1979,10.1016/0038-1098(79)91085-8,11505,tetragonal,P4_2/nmc,213.6,8.45,5.35,5.35,7.47,90,90,90
11456,B4Er0.187Ho0.813Rh4,6.43 ,1978,10.1016/0038-1098(78)91056-6,11483,monoclinic,P1m1,211.79,9.7,5.33,5.33,7.44,90,90,90
11457,B4Er0.25Ho0.75Rh4,6.44 ,1985,10.1103/PhysRevB.31.5756,11483,monoclinic,P1m1,211.79,9.7,5.33,5.33,7.44,90,90,90
11458,B4Er0.29Rh4Y0.71,10.00 ,1979,10.1016/0038-1098(79)91085-8,11505,tetragonal,P4_2/nmc,213.6,8.45,5.35,5.35,7.47,90,90,90
11459,B4Er0.72Gd0.28Rh4,2.50 ,1979,10.1063/1.327146,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11460,B4Er0.72Rh4Y0.28,9.05 ,1979,10.1016/0038-1098(79)91085-8,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11461,B4Er0.73Ho0.27Rh4,8.06 ,1978,10.1016/0038-1098(78)91056-6,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11462,B4Er0.76Gd0.24Rh4,4.18 ,1978,10.1063/1.325002,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11463,B4Er0.79Ho0.21Rh4,8.22 ,1980,10.1016/0038-1098(80)91201-6,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11464,B4Er0.88Rh4Y0.12,8.74 ,1979,10.1016/0038-1098(79)91085-8,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11465,B4Er0.8Gd0.2Rh4,4.41 ,1978,10.1063/1.325002,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11466,B4Er0.91Gd0.09Rh4,6.87 ,1978,10.1063/1.325002,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11467,B4Er0.95Gd0.05Rh4,7.61 ,1978,10.1063/1.325002,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11468,B4Er0.97Gd0.03Rh4,8.06 ,1978,10.1063/1.325002,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11469,B4Er0.98Gd0.02Rh4,8.22 ,1978,10.1063/1.325002,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11470,B4Er0.9Gd0.1Rh4,6.88 ,1979,10.1063/1.327146,15796,tetragonal,P4_2/nmc,212.01,9.75,5.34,5.34,7.45,90,90,90
11471,B4Er1Ir2Rh2,7.37 ,1979,10.1016/0038-1098(79)90802-0,11471,tetragonal,P4_2mc,215.15,12.36,5.37,5.37,7.45,90,90,90
11472,B4Er1Ir4,2.34 ,1979,10.1016/0038-1098(79)90802-0,11472,tetragonal,P4_2/nmc,214.39,15.17,5.38,5.38,7.42,90,90,90
11473,B4Er1Rh4,8.76 ,1978,10.1016/0038-1098(78)91056-6,11473,orthorhombic,Ccce1,635.63,9.75,7.54,7.53,11.82,90,108.6,90
11474,B4Er1Ru4,NaN,,10.1007/978-3-642-81894-3,11474,tetragonal,I4_1/acd,419.7,9.73,9.19,9.19,9.19,132,132,70.24
11475,B4Eu1Ru4,NaN,,10.1007/978-3-642-81894-3,11475,tetragonal,I4_1/acd,428.57,9.29,9.25,9.25,9.25,131.99,131.99,70.25
11476,B4Gd0.01Rh4Y0.99,10.10 ,1978,10.1063/1.325002,11505,tetragonal,P4_2/nmc,213.6,8.45,5.35,5.35,7.47,90,90,90
11477,B4Gd0.1Rh4Y0.9,8.66 ,1978,10.1063/1.325002,11505,tetragonal,P4_2/nmc,213.6,8.45,5.35,5.35,7.47,90,90,90
11478,B4Gd0.3Rh4Y0.7,3.54 ,1979,10.1016/0038-1098(79)90800-7,11505,tetragonal,P4_2/nmc,213.6,8.45,5.35,5.35,7.47,90,90,90
11479,B4Gd1Rh4,NaN,,10.1007/978-3-642-81894-3,11479,tetragonal,P4_2/nmc,214.22,9.49,5.35,5.35,7.48,90,90,90
11480,B4Ho0.745Lu0.255Rh4,NaN,,10.1063/1.335179,11484,tetragonal,P4_2/nmc,211.79,9.72,5.33,5.33,7.44,90,90,90
11481,B4Ho0.901Lu0.099Rh4,NaN,,10.1063/1.335179,11484,tetragonal,P4_2/nmc,211.79,9.72,5.33,5.33,7.44,90,90,90
11482,B4Ho0.933Lu0.067Rh4,NaN,,10.1063/1.335179,11484,tetragonal,P4_2/nmc,211.79,9.72,5.33,5.33,7.44,90,90,90
11483,B4Ho1Rh3.72Ru0.28,6.42 ,1986,10.1007/BF00681706,11483,monoclinic,P1m1,211.79,9.7,5.33,5.33,7.44,90,90,90
11484,B4Ho1Rh4,1.40 ,1982,"Springer-Verlag, 1982,",11484,tetragonal,P4_2/nmc,211.79,9.72,5.33,5.33,7.44,90,90,90
11485,B4Ho1Ru4,NaN,,10.1007/978-3-642-81894-3,11485,tetragonal,I4_1/acd,420.95,9.66,9.2,9.2,9.2,131.99,131.99,70.24
11486,B4Ir4Lu0.4Y0.6,3.06 ,1979,10.1016/0038-1098(79)90802-0,11487,tetragonal,P-4m2,217.17,14.44,5.4,5.4,7.45,90,90,90
11487,B8Ir8Lu1Y1,3.21 ,1979,10.1016/0038-1098(79)90802-0,11487,tetragonal,P-4m2,217.17,14.44,5.4,5.4,7.45,90,90,90
11488,B4Ir4Lu0.6Y0.4,3.07 ,1979,10.1016/0038-1098(79)90802-0,11487,tetragonal,P-4m2,217.17,14.44,5.4,5.4,7.45,90,90,90
11489,B4Ir4Lu0.7Y0.3,2.98 ,1979,10.1016/0038-1098(79)90802-0,11487,tetragonal,P-4m2,217.17,14.44,5.4,5.4,7.45,90,90,90
11490,B4Ir4Lu0.8Y0.2,3.04 ,1979,10.1016/0038-1098(79)90802-0,11487,tetragonal,P-4m2,217.17,14.44,5.4,5.4,7.45,90,90,90
11491,B4Ir4Tm1,1.75 ,1979,10.1016/0038-1098(79)90802-0,11491,tetragonal,P4_2/nmc,213.92,15.23,5.37,5.37,7.41,90,90,90
11492,B4La2Ru5,NaN,,10.1209/0295-5075/104/17003,11492,hexagonal,P6/mmm,81.55,9.44,5.58,5.58,3.02,90,90,120
11493,B4Lu0.75Rh4Th0.25,11.93 ,1977,10.1073/pnas.74.4.1334,11493,tetragonal,P4_2/nmc,210.46,9.94,5.33,5.33,7.42,90,90,90
11494,B4Lu1Rh4,11.76 ,1977,10.1073/pnas.74.4.1334,11494,orthorhombic,Ccce1,631.28,9.94,11.81,11.81,7.51,90,90,142.92
11495,B4Lu1Ru4,2.00 ,1982,"Springer-Verlag, 1982,",11495,tetragonal,I4_1/acd,410.1,10.08,9.13,9.13,9.13,132.13,132.13,70.02
11496,B4Nd1Rh4,5.36 ,1977,10.1073/pnas.74.4.1334,11496,tetragonal,P4_2/nmc,218.24,9.12,5.38,5.38,7.55,90,90,90
11497,B4Nd1Ru4,NaN,,10.1007/978-3-642-81894-3,11497,tetragonal,I4_1/acd,426.32,9.22,9.23,9.23,9.23,131.93,131.93,70.35
11498,B4Os1Y1,1.40 ,1980,10.1016/0025-5408(80)90099-9,11498,orthorhombic,Pbam,245.43,8.72,3.57,5.96,11.54,90,90,90
11499,B4Pr1Ru4,NaN,,10.1007/978-3-642-81894-3,11499,tetragonal,I4_1/acd,434.74,8.99,9.28,9.28,9.28,131.8,131.8,70.55
11500,B4Rh4Sc0.75Th0.25,8.74 ,1977,10.1073/pnas.74.4.1334,11500,tetragonal,P-4m2,210.41,9.37,5.31,5.31,7.45,90,90,90
11501,B4Rh4Sm1,2.72 ,1979,10.1016/0038-1098(79)90949-9,11501,tetragonal,P4_2/nmc,212.33,9.47,5.33,5.33,7.47,90,90,90
11502,B4Rh4Tb1,NaN,,10.1007/978-3-642-81894-3,11502,tetragonal,P4_2/nmc,213.8,9.53,5.35,5.35,7.48,90,90,90
11503,B4Rh4Th1,4.69 ,1987,10.1007/BF00682626,11503,tetragonal,P4_2/nmc,221.64,10.29,5.39,5.39,7.62,90,90,90
11504,B4Rh4Tm1,9.86 ,1977,10.1073/pnas.74.4.1334,11504,orthorhombic,Ccce1,632.29,9.83,7.52,7.52,11.79,90,108.6,90
11505,B4Rh4Y1,11.34 ,1977,10.1073/pnas.74.4.1334,11505,tetragonal,P4_2/nmc,213.6,8.45,5.35,5.35,7.47,90,90,90
11506,B4Rh4Yb1,NaN,,10.1007/978-3-642-81894-3,11506,orthorhombic,Ccce1,1257.86,9.95,7.46,22.48,7.5,90,90,90
11507,B4Ru1Y1,1.38 ,1980,10.1016/0025-5408(80)90099-9,11507,orthorhombic,Pbam,243.53,6.36,3.56,5.95,11.51,90,90,90
11508,B4Ru4Sc1,7.34 ,1987,10.1007/BF00682626,11508,tetragonal,I4_1/acd,409.28,7.99,9.14,9.14,9.14,132.29,132.29,69.77
11509,B4Ru4Sm1,NaN,,10.1007/978-3-642-81894-3,11509,tetragonal,I4_1/acd,422.16,9.41,9.2,9.2,9.2,131.96,131.96,70.3
11510,B4Ru4Tb1,NaN,,10.1007/978-3-642-81894-3,11510,tetragonal,I4_1/acd,416.91,9.66,9.17,9.17,9.17,132.02,132.02,70.19
11511,B4Ru4Th1,NaN,,10.1007/978-3-642-81894-3,11511,tetragonal,I4_1/acd,437.41,10.32,9.32,9.32,9.32,132.01,132.01,70.21
11512,B4Ru4Tm1,NaN,,10.1007/978-3-642-81894-3,11512,tetragonal,I4_1/acd,412.15,9.93,9.14,9.14,9.14,132.09,132.09,70.08
11513,B4Ru4U1,NaN,,10.1007/978-3-642-81894-3,11513,tetragonal,I4_1/acd,419.7,10.85,9.19,9.19,9.19,132.01,132.01,70.21
11514,B4Ru4Y1,1.40 ,1982,"Springer-Verlag, 1982,",11514,tetragonal,I4_1/acd,423.34,8.42,9.21,9.21,9.21,131.96,131.96,70.29
11515,B4Ru4Yb1,NaN,,10.1007/978-3-642-81894-3,11515,tetragonal,I4_1/acd,417.49,9.87,9.23,9.23,9.23,132.69,132.69,69.14
11516,B4Ta3,NaN,,10.1103/PhysRev.87.799,11516,orthorhombic,Immm,72.39,13.44,3.14,3.29,7.37,102.9,102.29,89.96
11517,B5Hf0.2Mo1.8,8.40 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11518,B5Mo1.7Nb0.3,8.30 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11519,B5Mo1.7Ta0.3,7.00 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11520,B5Mo1.7Ti0.3,7.10 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11521,B5Mo1.7V0.3,5.50 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11522,B5Mo1.8Sc0.2,8.80 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11523,B5Mo1.9Y0.1,8.00 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11524,B5Mo1.9Zr0.1,8.90 ,1970,10.1073/pnas.67.1.313,10106,trigonal,R-3mH,59.1,6.91,7.38,7.38,7.38,24.13,24.13,24.13
11525,B5W2,NaN,,10.1103/PhysRev.87.799,11525,hexagonal,P6_3/mmc,109.88,12.42,3.02,3.02,13.96,90,90,120
11526,B6Ca1,NaN,,,11526,cubic,Pm-3m,70.88,2.46,4.14,4.14,4.14,90,90,90
11527,B6Ce0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11528,B6Ce0.05Y0.95,1.60 ,1979,10.1016/0022-5088(79)90088-2,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11529,B6Ce1,NaN,,10.1126/science.159.3814.530,11529,cubic,Pm-3m,70.36,4.84,4.12,4.13,4.13,90,90,90
11530,B6Dy0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11531,B6Dy1,NaN,,10.1126/science.159.3814.530,11531,cubic,Pm-3m,68.1,5.54,4.08,4.08,4.08,90,90,90
11532,B6Er0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11533,B6Eu0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11534,B6Eu1,NaN,,10.1126/science.159.3814.530,11534,cubic,Pm-3m,71.88,5.01,4.16,4.16,4.16,90,90,90
11535,B6Fe0.1Y0.9,3.30 ,1979,10.1016/0022-5088(79)90088-2,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11536,B6Gd1,NaN,,10.1126/science.159.3814.530,11536,cubic,Pm-3m,68.99,5.35,4.1,4.1,4.1,90,90,90
11537,B6Ho0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11538,B6Ho1,NaN,,10.1126/science.159.3814.530,11538,cubic,Pm-3m,67.88,5.62,4.08,4.08,4.08,90,90,90
11539,B6La0.1Y0.9,6.80 ,1974,10.1016/0025-5408(74)90133-0,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11540,B6La0.2Y0.8,5.80 ,1974,10.1016/0025-5408(74)90133-0,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11541,B6La1,5.70 ,,,11541,cubic,Pm-3m,71.61,4.73,4.15,4.15,4.15,90,90,90
11542,B6La3Ru8,3.15 ,2013,10.1209/0295-5075/104/17003,11542,orthorhombic,Fmmm,238.82,8.97,5.56,5.63,9.2,81.42,72.42,60.42
11543,B6Nd1,3.00 ,1968,10.1126/science.159.3822.,11543,cubic,Pm-3m,70.42,4.93,4.13,4.13,4.13,90,90,90
11544,B6Os8Y3,5.80 ,2007,"Proc. Actinides(sesmbra,Portugal (2007)",11544,orthorhombic,Fmmm,233.97,13.15,10.06,9.26,5.53,81.43,65.63,32.94
11545,B6Pr0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11546,B6Pr1,NaN,,10.1126/science.159.3814.530,11546,cubic,Pm-3m,71,4.81,4.14,4.14,4.14,90,90,90
11547,B6Rh8Sr3,3.40 ,2013,10.1088/1468-6996/14/3/035003,11547,orthorhombic,Fmmm,238.14,8.03,5.58,5.72,9,81.3,71.94,60.8
11548,B6Sm0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11549,B6Sm1,NaN,,,11549,cubic,Pm-3m,69.54,5.14,4.11,4.11,4.11,90,90,90
11550,B6Tb0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11551,B6Tb1,NaN,,10.1126/science.159.3814.530,11551,cubic,Pm-3m,68.43,5.43,4.09,4.09,4.09,90,90,90
11552,B6Th1,0.74 ,1968,10.1126/science.159.3822.,11552,cubic,Pm-3m,69.38,7.11,4.11,4.11,4.11,90,90,90
11553,B6Tm0.01Y0.99,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11554,B6Y0.99Yb0.01,NaN,,,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11555,B6Y1,7.55 ,2017,10.1103/PhysRevB.96.144501,11555,cubic,Pm-3m,68.41,3.73,4.09,4.09,4.09,90,90,90
11556,B6Yb1,NaN,,,11556,cubic,Pm-3m,70.36,5.61,4.13,4.13,4.13,90,90,90
11557,Ba0.004Cu1La1.996O4,NaN,,10.1143/JPSJ.57.734,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11558,Ba0.014Cu1La1.986O4,NaN,,10.1143/JPSJ.57.734,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11559,Ba0.016Cu1La1.984O4,NaN,,10.1143/JPSJ.57.734,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11560,Ba0.01Cu1La1.99O4,NaN,,10.1143/JPSJ.57.734,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11561,Ba0.024Cu1La1.976O4,NaN,,10.1016/0038-1098(90)90932-2,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11562,Ba0.02Cu1La1.98O4,NaN,,10.1143/JPSJ.57.734,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11563,Ba0.035Cu1La1.965O4,NaN,,10.1143/JPSJ.57.2261,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11564,Ba0.03Cu1La1.97O4,NaN,,10.1143/JPSJ.57.2261,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11565,Ba0.045Cu1La1.955O4,NaN,,10.1143/JPSJ.57.2261,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11566,Ba0.054Cu1La1.946O4,NaN,,10.1016/0038-1098(90)90932-2,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11567,Ba0.05Sr0.95Ti1O3,0.55 ,1966,10.1103/PhysRevLett.16.579,11567,cubic,Pm-3m,60.22,5.06,3.92,3.92,3.92,90,90,90
11568,Ba0.066Cu1La1.934O4,22.60 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11569,Ba0.074Cu1La1.926O4,NaN,,,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11570,Ba0.075Cu1La1.925O4,24.00 ,1990,10.1126/science.250.4980.517,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11571,Ba0.075Sr0.925Ti1O3,0.50 ,1967,10.1016/0375-9601(67)90294-0,11567,cubic,Pm-3m,60.22,5.06,3.92,3.92,3.92,90,90,90
11572,Ba0.078Cu1La1.922O4,27.00 ,1989,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11573,Ba0.094Cu1La1.906O4,32.00 ,1989,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11574,Ba0.095Cu1La1.905O4,31.00 ,1999,10.1103/PhysRevB.59.14753,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11575,Ba0.097Cu1La1.903O4,26.00 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11576,Ba0.099Cu1La1.901O4,12.30 ,1989,10.1103/PhysRevLett.62.2751,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11577,Ba0.102Cu1La1.898O4,29.00 ,1989,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11578,Ba0.103Cu1La1.897O4,14.50 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11579,Ba0.105Cu1La1.895O4,33.10 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11580,Ba0.115Cu1La1.885O4,13.90 ,1994,10.1143/JPSJ.63.2314,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11581,Ba0.116Cu1La1.884O4,21.80 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11582,Ba0.118Cu1La1.882O4,9.00 ,1989,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11583,Ba0.119Cu1La1.881O4,9.30 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11584,Ba0.123Cu1La1.877O4,23.60 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11585,Ba0.135Cu1La1.865O4,5.98 ,1994,10.1143/JPSJ.63.2314,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11586,Ba0.13Cu1La1.87O4,9.70 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11587,Ba1W6O18,1.90 ,,,11587,monoclinic,C12/m1,679.74,7.47,10.74,10.74,8.86,89.98,89.98,41.69
11588,Ba0.142Cu1La1.858O4,29.00 ,1989,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11589,Ba0.14W1O3,2.20 ,1966,10.1016/0038-1098(66)90097-4,11587,monoclinic,C12/m1,679.74,7.47,10.74,10.74,8.86,89.98,89.98,41.69
11590,Ba0.155Cu1La1.845O4,26.00 ,1994,10.1143/JPSJ.63.2314,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11591,Ba0.157Cu1La1.843O4,25.30 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11592,Ba0.158Cu1La1.842O4,NaN,,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11593,Ba0.15Cu1La1.85O4,28.00 ,1987,10.1063/1.98154,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11594,Ba0.174Cu1La1.826O4,NaN,,,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11595,Ba0.175Cu1La1.825O4,28.30 ,1988,10.1103/PhysRevB.38.4596,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11596,Ba0.177Cu1La1.823O4,25.50 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11597,Ba0.17Cu1La1.83O4,26.90 ,1994,10.1143/JPSJ.63.2314,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11598,Ba0.18Cu1La1.82O4,24.20 ,1992,10.1016/0921-4534(92)90029-C,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11599,Ba0.199Cu1La1.801O4,23.50 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11600,Ba0.19Bi1K0.81O3,8.40 ,2001,10.1016/S0921-4534(01)00263-5,11613,trigonal,P-3m1,241.43,6.78,6.1,6.1,7.48,90,90,120
11601,Ba0.1Cu1F2Sr1.9O2,54.00 ,1995,10.1016/0921-4534(94)02345-X,13360,tetragonal,I4/mmm,103.98,4.93,7.07,7.07,7.07,147.09,147.09,47.23
11602,Ba0.1Pb3Sr0.9,1.75 ,1972,10.1016/0022-5088(72)90028-8,15261,cubic,Pm-3m,125.36,9.39,5,5,5.01,90,90,90
11603,Ba0.1Sr0.9Ti1O3,0.10 ,,,11567,cubic,Pm-3m,60.22,5.06,3.92,3.92,3.92,90,90,90
11604,Ba0.218Cu1La1.782O4,21.60 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11605,Ba0.241Bi1K0.759O3,NaN,,10.1016/S0921-4534(01)00263-5,11613,trigonal,P-3m1,241.43,6.78,6.1,6.1,7.48,90,90,120
11606,Ba0.249Cu1La1.751O4,13.70 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11607,Ba0.24Cu1La1.76O4,14.00 ,1989,10.1016/0921-4534(89)90111-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11608,Ba0.257Bi1K0.743O3,NaN,,10.1016/S0921-4534(02)01332-1,11613,trigonal,P-3m1,241.43,6.78,6.1,6.1,7.48,90,90,120
11609,Ba0.25Cu1F2Sr1.75O2,58.00 ,1995,10.1016/0921-4534(94)02345-X,13360,tetragonal,I4/mmm,103.98,4.93,7.07,7.07,7.07,147.09,147.09,47.23
11610,Ba0.25Cu1La1.75O4,NaN,,10.1016/0921-4534(94)90697-1,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11611,Ba0.275Cu1La1.725O4,NaN,,10.1103/PHYSREVB.35.8794,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11612,Ba1Bi3K2O9,0.77 ,2000,10.1016/S0022-0248(99)00766-6,11613,trigonal,P-3m1,241.43,6.78,6.1,6.1,7.48,90,90,120
11613,Ba0.34Bi1K0.66O3,7.00 ,2003,10.1016/S0921-4534(02)01332-1,11613,trigonal,P-3m1,241.43,6.78,6.1,6.1,7.48,90,90,120
11614,Ba0.35Bi1K0.65O3,1.88 ,2000,10.1016/S0022-0248(99)00766-6,11613,trigonal,P-3m1,241.43,6.78,6.1,6.1,7.48,90,90,120
11615,Ba0.3Cu1La1.7O4,9.70 ,1991,10.1016/0038-1098(91)90062-Z,13447,tetragonal,I4/mmm,100.14,6.72,6.9,6.9,6.9,146.39,146.39,48.27
11616,Ba0.3Cu1La1Sr0.7Tl1O5,30.00 ,1994,10.1103/PhysRevB.49.13123,13437,tetragonal,P4mm,129.66,7.36,3.81,3.81,8.94,90,90,90
11617,Ba0.445Bi1K0.555O3,17.00 ,2001,10.1016/S0921-4534(01)00263-5,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11618,Ba0.45Bi1K0.55O3,12.70 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11619,Ba0.47Bi1K0.53O3,11.00 ,2001,10.1016/S0921-4534(01)00222-2,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11620,Ba0.4Bi1K0.6O3,7.20 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
